"","test.date","tau","g","sigma"
"1",2019-07-19,1.95540140001687,0.827705020149038,1.27220106712753
"2",2019-07-22,1.85828514506312,0.914381383254452,1.30352650200294
"3",2019-07-23,1.95612810134566,0.820547186316551,1.26692360055132
"4",2019-07-24,1.95556156984359,0.839496823362936,1.28128362425121
"5",2019-07-25,1.95509126065115,0.80457459693465,1.25419965037822
"6",2019-07-26,1.94936859723817,0.783291812325712,1.23568784950792
"7",2019-07-29,1.95215568903358,0.752419003472949,1.21195669814012
"8",2019-07-30,1.95513076833642,0.721434173599418,1.18764394922619
"9",2019-07-31,1.94990392461135,0.698809138906508,1.16730916320745
"10",2019-08-01,1.95129531533666,0.680207931470971,1.15207922910456
"11",2019-08-02,2.05230821949431,0.705368899428168,1.20317679086329
"12",2019-08-05,2.05566932179869,0.727376389283582,1.22280224437599
"13",2019-08-06,2.05991672613964,0.767018175333499,1.25697795073047
"14",2019-08-07,2.06552607502577,0.767130976727464,1.25878077336388
"15",2019-08-08,2.05530410532615,0.80920934528343,1.28963998442562
"16",2019-08-09,2.05581467626418,0.75998588621753,1.24995605468338
"17",2019-08-12,2.04624390343575,0.796708709919193,1.27681648661282
"18",2019-08-13,2.04898701919582,0.742577968985213,1.23350420315113
"19",2019-08-14,2.04382264915304,0.762702836038242,1.24853086900894
"20",2019-08-15,2.03576251339188,0.735012670484189,1.22323801504031
"21",2019-08-16,2.02620122385224,0.708258688805056,1.19794600131257
"22",2019-08-19,2.03931189959502,0.856914167759247,1.32193617820339
"23",2019-08-20,2.04481575999257,0.785326173189537,1.26722031852106
"24",2019-08-21,2.03261138179296,0.838465683858023,1.30547879808622
"25",2019-08-22,2.02230449241079,0.810827201741228,1.28052313241509
"26",2019-08-23,2.01139327163906,0.788967214971286,1.25973145858038
"27",2019-08-26,2.00527593518701,0.78541997819852,1.25498357809838
"28",2019-08-27,2.00375687850841,0.78501583648418,1.25418534598887
"29",2019-08-28,2.00582620812751,0.777438284929685,1.24876182161118
"30",2019-08-29,1.99694227823533,0.783728780346559,1.25102403499847
"31",2019-08-30,1.99161034307865,0.754142190158629,1.22554371038813
"32",2019-09-02,1.99167144072876,0.760233082121826,1.23050173423658
"33",2019-09-03,2.17247472628864,0.721333253838638,1.25182996576851
"34",2019-09-04,2.17312240904405,0.740182978774695,1.26826977334015
"35",2019-09-05,2.16436950581881,0.722108792848693,1.25016408967997
"36",2019-09-06,2.1601399269339,0.704987471982624,1.23404683307315
"37",2019-09-09,2.15228783484589,0.711858646459982,1.23779025077179
"38",2019-09-10,2.14674128093386,0.676221509910042,1.2048537796676
"39",2019-09-11,2.13746758044628,0.669203900957526,1.19599399789668
"40",2019-09-12,2.13009379801619,0.650010168684229,1.17668289227036
"41",2019-09-16,2.11793684694781,0.61314378395538,1.13956123684342
"42",2019-09-17,2.09800754385382,0.679335001570765,1.19383832996742
"43",2019-09-18,2.12393577178374,0.612318177941233,1.14040540240865
"44",2019-09-19,2.11042963796088,0.666408923118276,1.18592122097145
"45",2019-09-20,2.39415692950524,0.565655832332118,1.16373056619348
"46",2019-09-23,2.37313362473018,0.559457389567678,1.15224439368861
"47",2019-09-24,2.36544133658057,0.521427883676842,1.11058861424693
"48",2019-09-25,2.25204897920493,0.480568233547567,1.0403187971959
"49",2019-09-26,2.24435032426837,0.463199521051138,1.01959893844201
"50",2019-09-27,2.24707862381226,0.440509638888326,0.994916978008324
"51",2019-09-30,2.20052417700519,0.442175022108792,0.986416152857504
"52",2019-10-08,2.19974453639579,0.403617115768099,0.942260338338987
"53",2019-10-09,2.36452990145953,0.382149443473884,0.950580762439528
"54",2019-10-10,2.34100228586685,0.366383950900933,0.926124001721158
"55",2019-10-11,2.344925872395,0.35193487218234,0.908438873660961
"56",2019-10-14,2.35913352503583,0.374356617868442,0.939764463859146
"57",2019-10-15,2.37549157526925,0.359010900315004,0.923486528937007
"58",2019-10-16,2.35749886618403,0.375800401592816,0.941248649755509
"59",2019-10-17,2.33989226622483,0.34567020635266,0.89935034469829
"60",2019-10-18,2.34408737092339,0.373690861071475,0.935929499517529
"61",2019-10-21,2.336415395096,0.325562314004569,0.872151823080908
"62",2019-10-22,2.31492376237536,0.328170604455582,0.871601933434818
"63",2019-10-23,2.32578464227288,0.294222363638419,0.827222977656848
"64",2019-10-24,2.32709267826047,0.267086187808869,0.788374474545263
"65",2019-10-25,2.34283604727946,0.235644980514033,0.743019215571672
"66",2019-10-28,2.33761686544814,0.217321284884491,0.712750938804605
"67",2019-10-29,2.32409808151591,0.215218544011307,0.707240415448189
"68",2019-10-30,2.31690524315281,0.215108824698031,0.70596512930265
"69",2019-10-31,2.32584895255812,0.204610654064624,0.689850328287547
"70",2019-11-01,2.32670499840776,0.229792123707376,0.731203448312906
"71",2019-11-04,2.34073083402368,0.18687322434696,0.661377288907287
"72",2019-11-05,2.40323266993679,0.211399373818361,0.712770567268645
"73",2019-11-06,2.38849343070619,0.203764016866903,0.697631002537088
"74",2019-11-07,2.30146499776028,0.184401118771414,0.651454311828731
"75",2019-11-08,2.53391992233224,0.1899046811698,0.693688153971442
"76",2019-11-11,2.46038743465335,0.296315022628912,0.853844106599793
"77",2019-11-12,2.36969230712892,0.198332815544247,0.68555652374288
"78",2019-11-13,2.33686329034907,0.230252011973274,0.733530827102283
"79",2019-11-14,2.30557526135621,0.204403170150938,0.68648881450668
"80",2019-11-15,2.60397565478186,0.199375616777504,0.720534004919781
"81",2019-11-18,2.30922590000604,0.185143607116907,0.653864215854412
