test.date,tau,g,sigma
2019-07-19T00:00:00Z,3.129071654569983,0.9768067926741936,1.7482844296476008
2019-07-22T00:00:00Z,3.134122978326569,0.9926000346014422,1.763783029947881
2019-07-23T00:00:00Z,3.188699144580265,0.9727121137061077,1.7611604937930918
2019-07-24T00:00:00Z,3.0660294298166466,1.0142158316035825,1.7634102154299063
2019-07-25T00:00:00Z,3.135882513215732,0.998681122062253,1.769674169714212
2019-07-26T00:00:00Z,3.1349768008919128,1.0027404625560825,1.7730110229293399
2019-07-29T00:00:00Z,3.106361950414553,0.9787306693075738,1.7436432292303423
2019-07-30T00:00:00Z,3.1404256246095343,0.9634133666860232,1.7394045026479978
2019-07-31T00:00:00Z,3.08797147919384,0.9543060084240824,1.716644906914905
2019-08-01T00:00:00Z,3.092829506885326,0.9768839459260106,1.738198922092214
2019-08-02T00:00:00Z,1.8406655735977524,0.958192377398678,1.3280480872173008
2019-08-05T00:00:00Z,1.8839042325006403,0.9483241226013257,1.3366195525844644
2019-08-06T00:00:00Z,1.7853650045256366,0.9666972632194464,1.3137379737690114
2019-08-07T00:00:00Z,1.8193609850053434,0.9786687301018796,1.3343731505062908
2019-08-08T00:00:00Z,1.752321484580425,0.9949052482983822,1.320376401529154
2019-08-09T00:00:00Z,1.7480307119917928,0.9893958328106511,1.3151023922378497
2019-08-12T00:00:00Z,1.7515758865528417,0.9990335585966359,1.3228314673815946
2019-08-13T00:00:00Z,1.743258020379145,0.9610341588857919,1.2943455896073437
2019-08-14T00:00:00Z,1.739266745766222,0.9530156522195168,1.2874581282900475
2019-08-15T00:00:00Z,1.6839284329761801,0.9366303803233624,1.2558736117204643
2019-08-16T00:00:00Z,1.713174332584917,0.972453855059638,1.2907296324604254
2019-08-19T00:00:00Z,1.7914152582177651,0.9521475462782505,1.3060213024592913
2019-08-20T00:00:00Z,1.7974608661001086,1.0377160624740855,1.3657430257631427
2019-08-21T00:00:00Z,1.412330920718026,0.5765656337197747,0.902386542633378
2019-08-22T00:00:00Z,1.7507394423374951,1.0233839898266894,1.3385360344967554
2019-08-23T00:00:00Z,1.7343870347224413,0.9078128374183496,1.2547903470990591
2019-08-26T00:00:00Z,1.7105411600456901,0.9372904583095203,1.2662045284457497
2019-08-27T00:00:00Z,1.7172393999490005,0.9143909312716871,1.2530874407381951
2019-08-28T00:00:00Z,1.711044294391842,0.947245591210023,1.2730982539567546
2019-08-29T00:00:00Z,1.7015534162869324,0.9276629600085544,1.2563709956718214
2019-08-30T00:00:00Z,1.6809632025309649,0.9147422653381744,1.2400193901037544
2019-09-02T00:00:00Z,1.706870606004536,0.9273393280097206,1.2581129682074623
2019-09-03T00:00:00Z,1.9993099702846464,1.0000627755845621,1.4140139596682744
2019-09-04T00:00:00Z,2.020535427327337,0.9145551543186674,1.3593715789090512
2019-09-05T00:00:00Z,2.036938674496018,0.9266754162952666,1.3738926428788116
2019-09-06T00:00:00Z,2.030074141485227,0.8990288083980094,1.350960819705396
2019-09-09T00:00:00Z,1.9902792068630932,0.9104332392616863,1.3461115649676092
2019-09-10T00:00:00Z,1.9451759009777672,0.895733152260995,1.3199842959236054
2019-09-11T00:00:00Z,1.6535932997869442,1.0152379209051543,1.2956815286552443
2019-09-12T00:00:00Z,2.0298103560621845,0.9168202524167125,1.3641741981884092
2019-09-16T00:00:00Z,1.6222553950891019,0.9589033385988427,1.2472313796609371
2019-09-17T00:00:00Z,1.5871632169368062,0.9292373918464842,1.2144346043081256
2019-09-18T00:00:00Z,1.6274869148862368,0.9510794676381269,1.2441339914165273
2019-09-19T00:00:00Z,1.9338862038337983,0.9641627768494685,1.3654966467916618
2019-09-20T00:00:00Z,1.908621120951553,0.9951030558578742,1.3781417597380072
2019-09-23T00:00:00Z,3.261020494713433,0.29520614221503233,0.9811591511719742
2019-09-24T00:00:00Z,3.8979987834561314,0.17698084477343898,0.8305848045936691
2019-09-25T00:00:00Z,1.6460979141835541,1.057898623163582,1.3196229450139256
2019-09-26T00:00:00Z,3.9907891642275595,0.16124768683634033,0.8021879588869593
2019-09-27T00:00:00Z,2.9775761477193123,0.2810998363778925,0.914874946605608
2019-09-30T00:00:00Z,3.6795380476841864,0.21403004236693798,0.8874298193302987
2019-10-08T00:00:00Z,2.3699515288544135,0.5449858499147262,1.1364814332884754
2019-10-09T00:00:00Z,3.3802164981534566,0.22143993555491792,0.8651675696145642
2019-10-10T00:00:00Z,3.887622280923591,0.21200343714662995,0.9078487131034679
2019-10-11T00:00:00Z,4.821141888094916,0.14477443043949317,0.8354508189695694
2019-10-14T00:00:00Z,4.0809439154751646,0.17865923542390091,0.8538725430335686
2019-10-15T00:00:00Z,4.355876700133606,0.15083441323021585,0.8105653003724137
2019-10-16T00:00:00Z,3.4931508331762595,0.22616097248730296,0.8888275364073592
2019-10-17T00:00:00Z,3.031367745941814,0.2720612089629614,0.908139622399693
2019-10-18T00:00:00Z,3.8754093707456665,0.19064573500803597,0.8595523648637341
2019-10-21T00:00:00Z,3.8890894354799297,0.17714303768152145,0.8300151302331953
2019-10-22T00:00:00Z,4.926762344101001,0.09902912926237849,0.6984933679133947
2019-10-23T00:00:00Z,3.7729608111537414,0.16545791360401307,0.7901051980104946
2019-10-24T00:00:00Z,4.1663649144791535,0.14061190159550332,0.7654021775287162
2019-10-25T00:00:00Z,4.377151432092755,0.12507864731981777,0.7399244422508051
2019-10-28T00:00:00Z,4.515741716413842,0.10632181514570868,0.6929082594530951
2019-10-29T00:00:00Z,5.176360656958981,0.07458923094170081,0.6213700672541667
