test.date,tau,g,sigma
2019-07-19T00:00:00Z,2.250911082955233,0.85339589567025,1.3859719620947146
2019-07-22T00:00:00Z,2.245536520606345,0.8652827375833075,1.393923953411216
2019-07-23T00:00:00Z,2.248782317830279,0.862393973825366,1.3926005598669962
2019-07-24T00:00:00Z,2.220693927953838,0.8539908891189053,1.377117417649727
2019-07-25T00:00:00Z,2.2751915614177176,0.8593087636578086,1.3982460612233234
2019-07-26T00:00:00Z,2.227874750958711,0.8393987207609945,1.3675069345237199
2019-07-29T00:00:00Z,2.706772219786848,0.8694971019098727,1.5341220944353866
2019-07-30T00:00:00Z,2.243723576510311,0.8276022609363619,1.3626851084664255
2019-07-31T00:00:00Z,2.224201222752005,0.8170075394820668,1.3480315902506217
2019-08-01T00:00:00Z,2.22569171157818,0.8058484861944157,1.3392424338075366
2019-08-02T00:00:00Z,2.2834294807740636,0.8240353968822881,1.3717239949940268
2019-08-05T00:00:00Z,2.303747348162083,0.853154585075266,1.4019460092811942
2019-08-06T00:00:00Z,2.2983716541299866,0.9031431422657745,1.440749318169383
2019-08-07T00:00:00Z,2.2923995263686607,0.9803159156861564,1.4990916385633686
2019-08-08T00:00:00Z,3.4522529095751806,0.897416144374722,1.7601441689581494
2019-08-09T00:00:00Z,2.28101574684931,0.9405449683997622,1.4647176804899107
2019-08-12T00:00:00Z,2.284805629431656,0.9291115169572861,1.4569966452651129
2019-08-13T00:00:00Z,3.413048371868569,0.8646664734638408,1.7178907123170262
2019-08-14T00:00:00Z,2.2638546404375277,0.9059968078911154,1.43214701681283
2019-08-15T00:00:00Z,2.2857756854058646,0.9064805051211492,1.4394481921557125
2019-08-16T00:00:00Z,3.321548683801143,0.8241389730637034,1.6545143460390332
2019-08-19T00:00:00Z,1.9915345372968691,0.8890147167747438,1.330602687740445
2019-08-20T00:00:00Z,2.007992835903104,0.8750460937496511,1.325551314485522
2019-08-21T00:00:00Z,1.9827046229008765,0.860060700503906,1.3058508057448448
2019-08-22T00:00:00Z,1.980547302126427,0.843864683657026,1.2927930702849137
2019-08-23T00:00:00Z,3.0319189549707635,0.817040994991304,1.5739129835230115
2019-08-26T00:00:00Z,1.960301167746292,0.8282226851112215,1.2741922526751985
2019-08-27T00:00:00Z,1.957497735141398,0.8174973072182781,1.2650095364715521
2019-08-28T00:00:00Z,2.1536842446588125,0.8809241542915729,1.3774006214014678
2019-08-29T00:00:00Z,1.9454923066569705,0.8773402989579346,1.3064680638816963
2019-08-30T00:00:00Z,1.9364282437823044,0.8741532232422816,1.3010514943228388
2019-09-02T00:00:00Z,2.9041536163114423,0.7938610117061993,1.5183854345966372
2019-09-03T00:00:00Z,2.4090840357623797,0.7737017244379856,1.3652517983087862
2019-09-04T00:00:00Z,2.4774261425785267,0.8348557528300992,1.4381562736168017
2019-09-05T00:00:00Z,2.47194352960296,0.8239022752745812,1.4271089301066537
2019-09-06T00:00:00Z,2.4962035444927295,0.8123549851478967,1.4240096184059006
2019-09-09T00:00:00Z,2.3305933589913477,0.7093966665783762,1.285813034627571
2019-09-10T00:00:00Z,2.4972713747900652,0.7979992934568101,1.4116730473634427
2019-09-11T00:00:00Z,2.510997200503987,0.7874588543169714,1.4061674788950256
2019-09-12T00:00:00Z,2.5174948739347034,0.7846127670186027,1.4054389417520265
2019-09-16T00:00:00Z,2.510153026104594,0.7915146789808161,1.4095470785503765
2019-09-17T00:00:00Z,2.520356449395443,0.7853164706863134,1.4068679510567854
2019-09-18T00:00:00Z,2.531515948160446,0.7940902329122606,1.4178335899871433
2019-09-19T00:00:00Z,2.521926985215078,0.9225448990682595,1.5253166477924394
2019-09-20T00:00:00Z,1.4389341989010231,0.5478995854286937,0.8879141011590254
2019-09-23T00:00:00Z,1.9349706548756451,0.4819667779447559,0.9657078087848668
2019-09-24T00:00:00Z,1.9728759417429178,0.41046661350104385,0.8998887190452485
2019-09-25T00:00:00Z,1.3923551421130882,0.5309190164613837,0.8597835905712733
2019-09-26T00:00:00Z,1.8582783907198488,0.4065701592308296,0.869206846044242
2019-09-27T00:00:00Z,1.8314735983889643,0.37224909398084255,0.8256902492158458
2019-09-30T00:00:00Z,1.757690906805882,0.41316565080975687,0.8521839633746013
2019-10-08T00:00:00Z,1.7954925563023838,0.35692109653564713,0.800530556579222
2019-10-09T00:00:00Z,2.056835769637094,0.37853942807089275,0.8823794171863825
2019-10-10T00:00:00Z,2.420664414582227,0.3898710155267341,0.9714663625481842
2019-10-11T00:00:00Z,2.4730055729141305,0.3028560174230748,0.8654274197631151
2019-10-14T00:00:00Z,2.275008491226182,0.3235273815030976,0.8579204742070907
2019-10-15T00:00:00Z,2.2072124543288254,0.36323456170646196,0.8953970339693867
2019-10-16T00:00:00Z,2.3681648366770114,0.30828035196367976,0.8544347191908808
2019-10-17T00:00:00Z,2.115812765873271,0.37313072191789154,0.888523913450496
2019-10-18T00:00:00Z,2.009851707607017,0.44205637987463636,0.9425856830811796
2019-10-21T00:00:00Z,2.2237266228810686,0.30597434054583533,0.8248656175343063
2019-10-22T00:00:00Z,2.2334788886440085,0.3335521334338169,0.8631231941539976
2019-10-23T00:00:00Z,2.20685795394601,0.32705048410137955,0.8495610408799491
2019-10-24T00:00:00Z,2.2180354958992003,0.2856668047105319,0.7960019553041718
2019-10-25T00:00:00Z,1.9898137027103975,0.3604878804665583,0.8469378514468375
2019-10-28T00:00:00Z,2.6623540792195697,0.18638377142538548,0.7044285585882382
2019-10-29T00:00:00Z,2.825794139394711,0.1976099672224433,0.7472650716199448
