"","test.date","tau","g","sigma"
"1",2019-07-19,2.30873311514232,0.867314567371637,1.41506108099129
"2",2019-07-22,2.29486095474154,0.879364287959335,1.42056987488542
"3",2019-07-23,2.29177999171435,0.870017442529214,1.41205119143427
"4",2019-07-24,2.26990952291299,0.867382332996737,1.40316763705403
"5",2019-07-25,2.26275315515992,0.856355003997688,1.39202011021133
"6",2019-07-26,2.25032031366674,0.851949860755,1.38461549820971
"7",2019-07-29,2.24523194578586,0.836874827559547,1.37075821991361
"8",2019-07-30,2.22908718211307,0.824669118454619,1.35582423692442
"9",2019-07-31,2.24763768609166,0.783374357643121,1.32692943616325
"10",2019-08-01,2.2089539522625,0.800142580954714,1.32946534989575
"11",2019-08-02,2.16770864654933,0.825325378685375,1.33755932937305
"12",2019-08-05,2.18077658080447,0.844529024753971,1.35710320867394
"13",2019-08-06,2.30244388997161,0.868989193300214,1.41449597332952
"14",2019-08-07,2.29472326273108,0.932082629421334,1.46248818542944
"15",2019-08-08,2.28379823119973,0.925207379671303,1.45361170096634
"16",2019-08-09,2.2796873051743,0.88944872926912,1.42396101657251
"17",2019-08-12,2.17436615731377,0.929795224315347,1.42187034183264
"18",2019-08-13,2.27957651650772,0.879759054935985,1.41614903234691
"19",2019-08-14,2.27435745225834,0.871001963746293,1.40746929173536
"20",2019-08-15,2.15389152475524,0.908878614195709,1.39915186600577
"21",2019-08-16,2.1411491044348,0.879605594899498,1.37235809167101
"22",2019-08-19,2.29061013635731,0.898414546997739,1.43454434159558
"23",2019-08-20,2.30973611598098,0.869977307619317,1.41753942008405
"24",2019-08-21,2.30614868373861,0.871601371295474,1.41775962530953
"25",2019-08-22,2.14981010407737,0.844245604294614,1.34720738211883
"26",2019-08-23,2.26062657336997,0.841769305657664,1.37946586076528
"27",2019-08-26,2.2501851630633,0.838907111590199,1.37393461841842
"28",2019-08-27,2.25574639929084,0.829236404286115,1.36767943361348
"29",2019-08-28,2.25410172615242,0.884798145277575,1.41224113612607
"30",2019-08-29,2.24034329814863,0.868665493264282,1.39503007715519
"31",2019-08-30,2.12160071662465,0.848693448598712,1.3418601375485
"32",2019-09-02,2.21484511753591,0.84145086993011,1.36516788378245
"33",2019-09-03,2.07984387272152,0.815693889011951,1.30250371864263
"34",2019-09-04,2.0728851791109,0.809973433063684,1.29575534915789
"35",2019-09-05,2.06487895405757,0.79430841441878,1.28068369551743
"36",2019-09-06,2.06419402655745,0.78494049886798,1.27289806699763
"37",2019-09-09,2.0520921394238,0.77228005445135,1.25888435893588
"38",2019-09-10,2.03982687613513,0.756723811666354,1.2424111915338
"39",2019-09-11,2.03582831202817,0.740233282409407,1.22759434416855
"40",2019-09-12,2.03031074017544,0.743289161829427,1.22845755657991
"41",2019-09-16,2.02330725490185,0.729082128241423,1.2145604799639
"42",2019-09-17,2.20256583043899,0.692597905781395,1.23510828736095
"43",2019-09-18,2.04023898223595,0.728054114567995,1.2187716708715
"44",2019-09-19,2.02032160801465,0.821458289121293,1.28825848787986
"45",2019-09-20,1.61902901052846,0.621821021896492,1.00336746698649
"46",2019-09-23,1.57813116655837,0.651930264729897,1.01431329932763
"47",2019-09-24,1.56199920667133,0.586112022366879,0.956821045942025
"48",2019-09-25,1.56081713046428,0.601193032187263,0.968685905417047
"49",2019-09-26,1.53985036291822,0.571105073314875,0.937772016221611
"50",2019-09-27,1.49855147838045,0.54997024637992,0.907831881891076
"51",2019-09-30,1.46079413240267,0.57871759920289,0.919449440281379
"52",2019-10-08,1.49179645273508,0.515114638978956,0.876610626892419
"53",2019-10-09,1.61661947973017,0.504737006283344,0.903309291714827
"54",2019-10-10,1.6343718202313,0.498844352998611,0.902938067213054
"55",2019-10-11,1.60944156280757,0.494880375319713,0.892457867160884
"56",2019-10-14,1.63823509658301,0.498020677690825,0.903257965930644
"57",2019-10-15,1.63333820435853,0.465094745979165,0.871583052413364
"58",2019-10-16,1.6765409761127,0.471095505510545,0.88871306879721
"59",2019-10-17,1.62982315508797,0.453045039165984,0.85929232228064
"60",2019-10-18,1.59298057151708,0.54732884924076,0.933747408602204
"61",2019-10-21,1.59355638154081,0.431085819666301,0.828830235284032
"62",2019-10-22,1.62345953343923,0.463857487138786,0.867786759320877
"63",2019-10-23,1.60332226804174,0.470450816274626,0.868495405716992
"64",2019-10-24,1.58260030662833,0.425773842983731,0.820871375101102
"65",2019-10-25,1.67388213958125,0.414350226551438,0.832810568950645
"66",2019-10-28,2.23297623765391,0.247422128884397,0.743295186630857
"67",2019-10-29,2.42216487362499,0.259440478773901,0.792721650065515
"68",2019-10-30,2.37427480019497,0.239157087110347,0.753541402455187
"69",2019-10-31,2.31449413477751,0.221232830149869,0.715571161941355
"70",2019-11-01,2.37396593440951,0.323421514142967,0.876237215045415
"71",2019-11-04,2.17412425961255,0.231400369891388,0.709290601843971
"72",2019-11-05,2.15230336350585,0.338070195168639,0.853012085589965
"73",2019-11-06,2.15507805427177,0.320476498089508,0.831054672053872
"74",2019-11-07,2.14283377840018,0.301104588405717,0.80325405873052
"75",2019-11-08,2.13860160504023,0.288090925725232,0.784927841367286
"76",2019-11-11,2.14261445421966,0.397068687710277,0.922369291339468
"77",2019-11-12,2.12555333345119,0.288613950935916,0.783239647548791
"78",2019-11-13,2.12280451006359,0.324975284222862,0.830577509331602
"79",2019-11-14,2.11044012596655,0.297504341468603,0.79237939138054
"80",2019-11-15,2.11380070688755,0.294959489798114,0.78961102958257
"81",2019-11-18,2.11388838088828,0.277608357709506,0.766050312838264
